NAME,TAXONNO,TAXON,NATIVE,HYBRID,ID,Major_group,Family,Genus_hybrid_marker,Genus,Species_hybrid_marker,Infraspecific_rank,Infraspecific_epithet,Authorship,Taxonomic_status_in_TPL,Nomenclatural_status_original,Confidence_level,Source,Source_id,IPNI_id,Publication,Collation,Page,Date,SppID
Myosotis ramosissima,9710,0920  1320,N,,kew-2358285,A,Boraginaceae,,Myosotis,,,,Rochel,Accepted,,M,WCSP (in review),497582,119209-1,Oestr. Fl.,"ed. 2, 1: 366",,1814,44517
Myosotis scorpioides,3384,0920  1322,N,,kew-2358330,A,Boraginaceae,,Myosotis,,,,L.,Accepted,,M,WCSP (in review),497627,119235-1,Sp. Pl.,131,,1753,44523
Myosotis secunda,3385,0920  1323,N,,kew-2898482,A,Boraginaceae,,Myosotis,,,,Al.Murray,Accepted,,M,WCSP (in review),1021307,50867662-1,North. Fl.,1: 115,,1836,44524
Myosotis stolonifera,3387,0920  1318,N,,kew-2358227,A,Boraginaceae,,Myosotis,,,,(DC.) J.Gay ex Leresche & Levier,Accepted,,M,WCSP (in review),497524,,Deux Excurs. Bot.,83,,1880,44531
Myosotis sylvatica,3388,0920  1325,N,,kew-2358257,A,Boraginaceae,,Myosotis,,,,Hoffm.,Accepted,,M,WCSP (in review),497554,119282-1,Deutschl. Fl.,61,,1791,44535
Myosoton aquaticum,3390,0920  1326,N,,,,,,,,,,,,,,,,,,,,,
Myosurus minimus,6986,0920  1327,NA,,kew-2509025,A,Ranunculaceae,,Myosurus,,,,L.,Accepted,,M,WCSP (in review),645406,30001891-2,Sp. Pl.,284,,1753,300504
Myrica gale,3392,0920  1328,N,,kew-2500739,A,Myricaceae,,Myrica,,,,L.,Accepted,,M,WCSP (in review),637229,300581-2,Sp. Pl.,1024,,1753,217138
Myriophyllum alterniflorum,3393,0920  1330,N,,kew-2366560,A,Haloragaceae,,Myriophyllum,,,,DC.,Accepted,,M,WCSP (in review),505840,,Fl. Franç.,"ed. 3, 5: 529",,1815,147551
Myriophyllum aquaticum,3394,0920  4433,AN,,kew-2366570,A,Haloragaceae,,Myriophyllum,,,,(Vell.) Verdc.,Accepted,,M,WCSP (in review),505850,166319-2,Kew Bull.,28: 36,,1973,147552
